Location ID,Depth Top,Depth Base,Geology Code
,96.0,97.0,WEATHERED BEDROCK
,97.0,112.0,BEDROCK
13,0.0,7.3,FILL
,7.3,30.0,MARINE SAND DEPOSITS
,30.0,40.0,MARINE CLAY DEPOSITS
,40.0,50.0,GLACIOFLUVIAL (SAND) DEPOSITS
,50.0,65.0,GLACIAL TILL
15,0.0,12.0,FILL
,12.0,55.5,MARINE SAND DEPOSITS
,55.5,90.7,GLACIOFLUVIAL (SAND) DEPOSITS
17,0.0,2.0,FILL
,2.0,15.0,MARINE SAND DEPOSITS
,15.0,50.75,MARINE CLAY DEPOSITS
,50.75,70.0,GLACIOFLUVIAL (SAND) DEPOSITS
,70.0,80.25,GLACIAL TILL
20,0.0,5.0,FILL
,5.0,25.0,MARINE SAND DEPOSITS
,25.0,40.0,MARINE CLAY DEPOSITS
,40.0,55.0,GLACIOFLUVIAL (SAND) DEPOSITS
,55.0,65.7,GLACIAL TILL
75-1,0.0,4.0,FILL
,4.0,58.0,MARINE CLAY DEPOSITS
,58.0,67.0,GLACIOFLUVIAL (SAND) DEPOSITS
,67.0,76.0,GLACIAL TILL
,76.0,86.0,BEDROCK
75-2,0.0,2.0,FILL
,2.0,56.0,GLACIOFLUVIAL (SAND) DEPOSITS
,56.0,79.0,GLACIAL TILL
75-3,0.0,5.0,FILL
,5.0,40.0,MARINE SAND DEPOSITS
,40.0,43.0,MARINE CLAY DEPOSITS
,43.0,52.0,GLACIOFLUVIAL (SAND) DEPOSITS
,52.0,61.0,GLACIAL TILL
,61.0,71.0,BEDROCK
75-4,0.0,8.0,FILL
,8.0,30.0,MARINE CLAY DEPOSITS
,30.0,40.0,GLACIOFLUVIAL (SAND) DEPOSITS
,40.0,45.0,GLACIAL TILL
,45.0,55.0,BEDROCK
75-6,0.0,8.0,FILL
,8.0,48.0,MARINE CLAY DEPOSITS
,48.0,65.0,GLACIAL TILL
,65.0,73.0,BEDROCK
79-1,0.0,5.0,FILL
,5.0,40.0,MARINE CLAY DEPOSITS
,40.0,51.0,GLACIOFLUVIAL (SAND) DEPOSITS
79-2,0.0,5.0,FILL
,5.0,30.0,MARINE CLAY DEPOSITS
,30.0,54.0,GLACIOFLUVIAL (SAND) DEPOSITS
79-3,0.0,15.0,FILL
,15.0,35.0,MARINE CLAY DEPOSITS
,35.0,46.0,GLACIOFLUVIAL (SAND) DEPOSITS
79-4,0.0,1.5,FILL
,1.5,25.0,MARINE CLAY DEPOSITS
,25.0,39.3,GLACIAL TILL
79-5,0.0,5.0,FILL
,5.0,20.0,MARINE CLAY DEPOSITS
,20.0,36.3,GLACIAL TILL
79-6,0.0,5.0,FILL
,5.0,35.0,MARINE CLAY DEPOSITS
,35.0,46.0,GLACIOFLUVIAL (SAND) DEPOSITS
79-7,0.0,5.0,FILL
,5.0,30.0,MARINE CLAY DEPOSITS
,30.0,49.0,GLACIOFLUVIAL (SAND) DEPOSITS
79-8,0.0,5.0,FILL
,5.0,30.0,MARINE CLAY DEPOSITS
,30.0,31.0,GLACIAL TILL
79-9,0.0,5.0,FILL
,5.0,8.0,MARINE SAND DEPOSITS
,8.0,26.0,MARINE CLAY DEPOSITS
79-10,0.0,4.0,FILL
,4.0,24.0,MARINE SAND DEPOSITS
,24.0,31.0,GLACIAL TILL
79-11,0.0,3.0,FILL
,3.0,20.0,MARINE CLAY DEPOSITS
,20.0,24.0,GLACIOFLUVIAL (SAND) DEPOSITS
,24.0,32.0,GLACIAL TILL
79-12,0.0,4.0,FILL
,4.0,24.0,MARINE SAND DEPOSITS
,24.0,26.25,GLACIAL TILL
79-13,0.0,4.0,FILL
,4.0,25.0,MARINE SAND DEPOSITS
,25.0,29.0,GLACIOFLUVIAL (SAND) DEPOSITS
,29.0,30.5,GLACIAL TILL
79-14,0.0,2.5,FILL
,2.5,26.0,MARINE SAND DEPOSITS
79-15,0.0,4.5,FILL
,4.5,25.0,MARINE SAND DEPOSITS
,25.0,30.0,GLACIOFLUVIAL (SAND) DEPOSITS
79-16,0.0,9.0,FILL
,9.0,26.5,MARINE CLAY DEPOSITS
79-17,0.0,3.0,FILL
,3.0,9.5,ORGANIC DEPOSITS
,9.5,19.0,MARINE SAND DEPOSITS
,19.0,30.0,GLACIAL TILL
79-18,0.0,3.0,FILL
,3.0,9.0,ORGANIC DEPOSITS
,9.0,28.5,MARINE CLAY DEPOSITS
79-19,0.0,2.0,FILL
,2.0,26.0,MARINE CLAY DEPOSITS
,26.0,28.0,GLACIAL TILL
79-20,0.0,9.5,FILL
,9.5,15.5,MARINE CLAY DEPOSITS
,15.5,27.0,GLACIAL TILL
79-21,0.0,4.0,FILL
,4.0,29.0,MARINE CLAY DEPOSITS
,29.0,31.0,GLACIAL TILL
83-1,0.0,9.5,FILL
,9.5,23.5,MARINE CLAY DEPOSITS
,23.5,35.0,GLACIAL TILL
,35.0,43.0,BEDROCK
83-2,0.0,9.0,FILL
,9.0,21.0,MARINE CLAY DEPOSITS
,21.0,35.0,GLACIAL TILL
,35.0,46.0,BEDROCK
83-3,0.0,1.5,FILL
,1.5,32.0,MARINE CLAY DEPOSITS
,32.0,42.5,GLACIOFLUVIAL (SAND) DEPOSITS
,42.5,50.5,BEDROCK
83-4,0.0,3.6,FILL
,3.6,23.0,MARINE CLAY DEPOSITS
,23.0,38.5,GLACIOFLUVIAL (SAND) DEPOSITS
,38.5,46.5,BEDROCK
83-5,0.0,9.0,FILL
,9.0,37.5,MARINE CLAY DEPOSITS
,37.5,50.0,GLACIOFLUVIAL (SAND) DEPOSITS
,50.0,54.5,GLACIAL TILL
,54.5,62.5,BEDROCK
83-6,0.0,3.5,FILL
,3.5,28.0,MARINE CLAY DEPOSITS
,28.0,33.0,GLACIOFLUVIAL (SAND) DEPOSITS
,33.0,36.5,GLACIAL TILL
,36.5,44.5,BEDROCK
83-7,0.0,7.5,FILL
,7.5,18.0,MARINE SAND DEPOSITS
,18.0,25.0,MARINE CLAY DEPOSITS
,25.0,41.0,GLACIAL TILL
,41.0,49.0,BEDROCK
83-8,0.0,8.0,FILL
,8.0,28.0,MARINE CLAY DEPOSITS
,28.0,36.0,GLACIAL TILL
,36.0,44.0,BEDROCK
83-9,0.0,13.0,FILL
,13.0,29.0,MARINE CLAY DEPOSITS
,29.0,46.0,GLACIAL TILL
,46.0,54.0,BEDROCK
83-10,0.0,5.0,FILL
,5.0,24.0,MARINE CLAY DEPOSITS
,24.0,31.0,GLACIOFLUVIAL (SAND) DEPOSITS
,31.0,44.0,GLACIAL TILL
,44.0,53.0,BEDROCK
83-11,0.0,4.5,FILL
,4.5,38.0,MARINE CLAY DEPOSITS
,38.0,54.0,GLACIAL TILL
,54.0,62.5,BEDROCK
84-1,0.0,8.0,FILL
,8.0,17.0,MARINE SAND DEPOSITS
,17.0,21.2,MARINE CLAY DEPOSITS
,21.2,43.5,GLACIAL TILL
,43.5,49.0,WEATHERED BEDROCK
84-2,0.0,7.0,FILL
,7.0,22.0,MARINE CLAY DEPOSITS
,22.0,42.5,GLACIAL TILL
,42.5,49.0,WEATHERED BEDROCK
84-3,0.0,6.0,FILL
,6.0,11.0,ORGANIC DEPOSITS
,11.0,22.2,MARINE CLAY DEPOSITS
,22.2,43.2,GLACIAL TILL
,43.2,48.1,WEATHERED BEDROCK
84-4,0.0,5.0,FILL
,5.0,28.0,MARINE CLAY DEPOSITS
,28.0,38.5,GLACIAL TILL
,38.5,44.0,WEATHERED BEDROCK
84-5,0.0,1.5,FILL
,1.5,18.0,MARINE CLAY DEPOSITS
,18.0,31.0,GLACIAL TILL
,31.0,50.8,BEDROCK
84-6,0.0,8.0,FILL
,8.0,27.0,MARINE CLAY DEPOSITS
,27.0,48.0,GLACIAL TILL
,48.0,53.5,WEATHERED BEDROCK
84-7,0.0,9.0,FILL
,9.0,12.5,MARINE CLAY DEPOSITS
,12.5,23.0,GLACIOFLUVIAL (SAND) DEPOSITS
,23.0,45.7,GLACIAL TILL
,45.7,50.8,WEATHERED BEDROCK
84-8,0.0,3.5,FILL
,3.5,24.5,MARINE CLAY DEPOSITS
,24.5,27.3,GLACIOFLUVIAL (SAND) DEPOSITS
,27.3,30.1,GLACIAL TILL
,30.1,35.5,WEATHERED BEDROCK
84-9,0.0,12.0,FILL
,12.0,27.5,MARINE CLAY DEPOSITS
,27.5,30.3,GLACIAL TILL
,30.3,35.3,WEATHERED BEDROCK
