Location ID,Depth Top,Depth Base,Geology Code,Location Code
MW-702,55.3,69.5,BEDROCK,2006 0506 05305 BWH Bicor Project.pdf
MW-703,0.0,6.0,FILL,2006 0506 05305 BWH Bicor Project.pdf
MW-703,6.0,13.0, MARINE CLAY DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
MW-703,13.0,22.5,GLACIOFLUVIAL (SAND) DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
MW-703,22.5,31.5,GLACIAL TILL,2006 0506 05305 BWH Bicor Project.pdf
MW-703,31.5,62.5,BEDROCK,2006 0506 05305 BWH Bicor Project.pdf
MW-701,0.0,6.3,FILL,2004 0405 05695 MDEP Mission Hill Ledge.pdf
MW-701,6.3,15.9,GLACIOFLUVIAL (SAND) DEPOSITS,2004 0405 05695 MDEP Mission Hill Ledge.pdf
MW-701,15.9,36.5,GLACIAL TILL,2004 0405 05695 MDEP Mission Hill Ledge.pdf
MW-701,36.5,70.5,BEDROCK,2004 0405 05695 MDEP Mission Hill Ledge.pdf
B90-2,0.0,20.0,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
B90-2,20.0,11.0,MARINE SAND DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
B90-2,11.0,44.0, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
B90-2,44.0,49.0,GLACIOFLUVIAL (SAND) DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
B90-2,49.0,56.0,GLACIAL TILL,2001 0330 10915 BCH Clinical Expansion.pdf
B90-2,56.0,66.7,BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
TB-1 (OW),0.0,30.0,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-1 (OW),30.0,62.5, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-1 (OW),62.5,72.0,GLACIAL TILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-1 (OW),72.0,79,BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
TB-2,0.0,1.0,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-2,1.0,63.0, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-2,63.0,73.9,GLACIAL TILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-2,73.9,79,BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
TB-3,0.0,8,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-3A,0.0,22.5,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-4,0.0,2.0,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-4,2.0,61.5, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-4,61.5,78.1,GLACIOFLUVIAL (SAND) DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-4,78.1,79,BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
TB-5,0.0,5.0,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-5,5.0,62.5, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-5,62.5,65.7,GLACIAL TILL,2001 0330 10915 BCH Clinical Expansion.pdf
